availability,category,description,num_reviews,price,price_excl_tax,price_incl_tax,product_type,stars,tax,title,upc,url
19,music,,0,57.25,57.25,57.25,books,0,0.0,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",deda3e61b9514b83,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
19,default,,0,17.93,17.93,17.93,books,0,0.0,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
19,business,,0,33.34,33.34,33.34,books,0,0.0,The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
19,music,,0,35.02,35.02,35.02,books,0,0.0,Rip it Up and Start Again,a34ba96d4081e6a4,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
19,default,,0,22.6,22.6,22.6,books,0,0.0,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
19,poetry,,0,20.66,20.66,20.66,books,0,0.0,Shakespeare's Sonnets,30a7f60cd76ca58c,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
19,default,,0,13.99,13.99,13.99,books,0,0.0,"Starving Hearts (Triangular Trade Trilogy, #1)",0312262ecafa5a40,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
19,sequential art,,0,52.29,52.29,52.29,books,0,0.0,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),3b1c02bac2a429e6,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
19,young adult,,0,22.65,22.65,22.65,books,0,0.0,The Requiem Red,f77dbf2323deb740,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
19,young adult,,0,17.46,17.46,17.46,books,0,0.0,Set Me Free,ce6396b0f23f6ecc,https://books.toscrape.com/catalogue/set-me-free_988/index.html
19,poetry,,0,52.15,52.15,52.15,books,0,0.0,The Black Maria,1dfe412b8ac00530,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
20,history,,0,54.23,54.23,54.23,books,0,0.0,Sapiens: A Brief History of Humankind,4165285e1663650f,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
20,mystery,,0,47.82,47.82,47.82,books,0,0.0,Sharp Objects,e00eb4fd7b871a48,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
20,fiction,,0,50.1,50.1,50.1,books,0,0.0,Soumission,6957f44c3847a760,https://books.toscrape.com/catalogue/soumission_998/index.html
20,historical fiction,,0,53.74,53.74,53.74,books,0,0.0,Tipping the Velvet,90fa61229261140a,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
22,poetry,,0,51.77,51.77,51.77,books,0,0.0,A Light in the Attic,a897fe39b1053632,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
19,science fiction,,0,37.59,37.59,37.59,books,0,0.0,Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
19,poetry,,0,23.88,23.88,23.88,books,0,0.0,Olio,feb7cc7701ecf901,https://books.toscrape.com/catalogue/olio_984/index.html
19,politics,,0,51.33,51.33,51.33,books,0,0.0,Libertarianism for Beginners,a18a4f574854aced,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
